unitid,year,Institute_name,Institute_city,Institute_State,Student_Origin,Gender,Ethnicity,enrolled,admitted,applied,admissions_yield,admitted_major,admitted_Level_study,awards
170886,2011,Chicago Institute of Technology,Chicago,Illinois,Argentina,Female,Hispanic or Latino Americans,389,1018,5258,38,Engineering,Doctor,295
170886,2011,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,1048,2923,14148,36,Economics,Certification,517
170886,2011,Chicago Institute of Technology,Chicago,Illinois,China,Female,Asian,172,425,2332,40,Medical And Nursing,Associate,81
170886,2011,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,56,156,763,36,Computer Science/Information Technology,Doctor,33
170886,2011,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,100,167,1361,60,Business Administration,Master,40
170886,2011,Chicago Institute of Technology,Chicago,Illinois,UAE,Female,Others,85,149,1160,57,Computer Science/Information Technology,Doctor,67
170886,2012,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,1390,2928,32576,47,Business Administration,Bachelor,1006
170886,2012,Chicago Institute of Technology,Chicago,Illinois,Chile,Male,Hispanic or Latino Americans,241,470,5661,51,Arts and Literature,Associate,129
170886,2012,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,445,852,10440,52,Economics,Doctor,295
170886,2012,Chicago Institute of Technology,Chicago,Illinois,South Korea,Male,Asian,94,209,2225,45,Medical And Nursing,Certification,46
170886,2012,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,39,122,936,32,Arts and Literature,Bachelor,28
170886,2012,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,27,70,654,38,Education and Training,Certification,13
170886,2012,Chicago Institute of Technology,Chicago,Illinois,Australia,Male,Others,42,85,989,49,Education and Training,Master,31
170886,2012,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,3557,8025,53475,44,Education and Training,Associate,2760
170886,2012,Chicago Institute of Technology,Chicago,Illinois,Argentina,Female,Hispanic or Latino Americans,529,1558,7965,34,Engineering,Doctor,374
170886,2012,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,952,2092,14326,46,Computer Science/Information Technology,Master,533
170886,2012,Chicago Institute of Technology,Chicago,Illinois,India,Female,Asian,244,419,3687,58,Medical And Nursing,Bachelor,177
170886,2012,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,61,152,934,40,Medical And Nursing,Bachelor,46
170886,2012,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,93,168,1410,55,Economics,Master,44
170886,2012,Chicago Institute of Technology,Chicago,Illinois,UAE,Female,Others,100,293,1510,34,Education and Training,Master,52
170886,2013,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,3780,10406,57420,36,Engineering,Doctor,1518
170886,2013,Chicago Institute of Technology,Chicago,Illinois,Spain,Male,Hispanic or Latino Americans,524,1193,7973,44,Computer Science/Information Technology,Certification,341
170886,2013,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,912,2401,13856,38,Medical And Nursing,Certification,398
170886,2013,Chicago Institute of Technology,Chicago,Illinois,Japan,Male,Asian,223,389,3400,57,Computer Science/Information Technology,Associate,123
170886,2013,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,106,217,1620,49,Business Administration,Doctor,57
170886,2013,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,72,189,1098,38,Economics,Doctor,56
170886,2013,Chicago Institute of Technology,Chicago,Illinois,UAE,Male,Others,96,208,1466,46,Engineering,Bachelor,72
170886,2013,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,1640,5351,35656,31,Engineering,Certification,993
170886,2013,Chicago Institute of Technology,Chicago,Illinois,Spain,Female,Hispanic or Latino Americans,220,650,4797,34,Business Administration,Certification,173
170886,2013,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,536,1253,11671,43,Computer Science/Information Technology,Master,407
170886,2013,Chicago Institute of Technology,Chicago,Illinois,China,Female,Asian,135,278,2937,48,Computer Science/Information Technology,Associate,73
170886,2013,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,46,114,1016,40,Computer Science/Information Technology,Associate,29
170886,2013,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,46,103,1009,45,Education and Training,Master,34
170886,2013,Chicago Institute of Technology,Chicago,Illinois,Australia,Female,Others,50,88,1090,57,Arts and Literature,Master,37
170886,2014,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,1351,2799,20214,48,Economics,Doctor,883
170886,2014,Chicago Institute of Technology,Chicago,Illinois,Colombia,Male,Hispanic or Latino Americans,142,257,2131,55,Engineering,Master,106
170886,2014,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,427,954,6402,45,Computer Science/Information Technology,Certification,275
170886,2014,Chicago Institute of Technology,Chicago,Illinois,China,Male,Asian,99,283,1482,35,Medical And Nursing,Associate,60
170886,2014,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,25,73,393,34,Business Administration,Doctor,13
170886,2014,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,37,76,566,49,Business Administration,Certification,29
170886,2014,Chicago Institute of Technology,Chicago,Illinois,UAE,Male,Others,43,73,646,59,Computer Science/Information Technology,Associate,19
170886,2014,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,4051,8668,40495,47,Computer Science/Information Technology,Doctor,2927
170886,2014,Chicago Institute of Technology,Chicago,Illinois,Colombia,Female,Hispanic or Latino Americans,440,803,4403,55,Engineering,Certification,306
170886,2014,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,942,2020,9425,47,Economics,Certification,415
170886,2014,Chicago Institute of Technology,Chicago,Illinois,South Korea,Female,Asian,219,370,2197,59,Medical And Nursing,Master,132
170886,2014,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,81,185,814,44,Engineering,Master,38
170886,2014,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,85,202,854,42,Engineering,Associate,39
170886,2014,Chicago Institute of Technology,Chicago,Illinois,UAE,Female,Others,63,124,632,51,Computer Science/Information Technology,Doctor,39
170886,2015,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,735,1623,14084,45,Engineering,Certification,571
170886,2015,Chicago Institute of Technology,Chicago,Illinois,Colombia,Male,Hispanic or Latino Americans,97,190,1872,51,Business Administration,Master,71
170886,2015,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,252,455,4841,55,Business Administration,Certification,103
170886,2015,Chicago Institute of Technology,Chicago,Illinois,India,Male,Asian,54,93,1039,58,Medical And Nursing,Bachelor,22
170886,2015,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,15,28,289,54,Education and Training,Doctor,7
170886,2015,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,16,36,339,44,Computer Science/Information Technology,Associate,8
170886,2015,Chicago Institute of Technology,Chicago,Illinois,Canada,Male,Others,25,52,486,48,Education and Training,Master,16
170886,2015,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,3217,8380,41765,38,Medical And Nursing,Associate,1376
170886,2015,Chicago Institute of Technology,Chicago,Illinois,Chile,Female,Hispanic or Latino Americans,559,1048,7261,53,Education and Training,Bachelor,329
170886,2015,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,1169,2032,15182,58,Medical And Nursing,Associate,684
170886,2015,Chicago Institute of Technology,Chicago,Illinois,China,Female,Asian,265,633,3445,42,Medical And Nursing,Bachelor,191
170886,2015,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,82,272,1071,30,Arts and Literature,Bachelor,37
170886,2015,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,68,123,889,55,Education and Training,Certification,53
170886,2015,Chicago Institute of Technology,Chicago,Illinois,Canada,Female,Others,62,162,810,38,Computer Science/Information Technology,Associate,39
170886,2016,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,878,1669,11966,53,Education and Training,Associate,380
170886,2016,Chicago Institute of Technology,Chicago,Illinois,Chile,Male,Hispanic or Latino Americans,130,353,1778,37,Arts and Literature,Bachelor,99
170886,2016,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,257,566,3508,45,Engineering,Doctor,139
170886,2016,Chicago Institute of Technology,Chicago,Illinois,China,Male,Asian,65,111,895,59,Medical And Nursing,Bachelor,26
170886,2016,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,20,42,278,47,Computer Science/Information Technology,Bachelor,15
170886,2016,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,21,37,301,57,Engineering,Certification,16
170886,2016,Chicago Institute of Technology,Chicago,Illinois,Canada,Male,Others,27,63,371,43,Business Administration,Certification,19
170886,2016,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,2377,4299,45255,55,Arts and Literature,Doctor,982
170886,2016,Chicago Institute of Technology,Chicago,Illinois,Chile,Female,Hispanic or Latino Americans,212,491,4042,43,Computer Science/Information Technology,Master,97
170886,2016,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,775,1600,14755,48,Economics,Doctor,319
170886,2016,Chicago Institute of Technology,Chicago,Illinois,South Korea,Female,Asian,146,278,2791,52,Computer Science/Information Technology,Doctor,101
170886,2016,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,73,165,1403,44,Arts and Literature,Master,38
170886,2016,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,45,75,878,60,Computer Science/Information Technology,Doctor,26
170886,2016,Chicago Institute of Technology,Chicago,Illinois,Canada,Female,Others,40,73,783,55,Economics,Master,20
170886,2017,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,1734,5195,56777,33,Economics,Master,1206
170886,2017,Chicago Institute of Technology,Chicago,Illinois,Argentina,Male,Hispanic or Latino Americans,258,530,8470,49,Medical And Nursing,Master,121
170886,2017,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,517,1452,16958,36,Economics,Master,391
170886,2017,Chicago Institute of Technology,Chicago,Illinois,South Korea,Male,Asian,123,259,4048,47,Computer Science/Information Technology,Bachelor,89
170886,2017,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,45,95,1481,47,Education and Training,Bachelor,27
170886,2017,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,27,71,892,38,Business Administration,Certification,12
170886,2017,Chicago Institute of Technology,Chicago,Illinois,Canada,Male,Others,41,87,1342,47,Computer Science/Information Technology,Associate,29
170886,2017,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,840,2685,37220,31,Education and Training,Associate,510
170886,2017,Chicago Institute of Technology,Chicago,Illinois,Argentina,Female,Hispanic or Latino Americans,129,285,5735,45,Education and Training,Bachelor,79
170886,2017,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,313,738,13902,42,Computer Science/Information Technology,Doctor,209
170886,2017,Chicago Institute of Technology,Chicago,Illinois,China,Female,Asian,54,106,2402,51,Medical And Nursing,Associate,27
170886,2017,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,32,82,1450,39,Computer Science/Information Technology,Bachelor,22
170886,2017,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,18,42,799,43,Computer Science/Information Technology,Associate,7
170886,2017,Chicago Institute of Technology,Chicago,Illinois,Canada,Female,Others,17,30,793,57,Business Administration,Master,12
170886,2018,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,3399,10357,18097,33,Engineering,Doctor,1978
170886,2018,Chicago Institute of Technology,Chicago,Illinois,Chile,Male,Hispanic or Latino Americans,310,756,1656,41,Arts and Literature,Certification,163
170886,2018,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,821,1597,4374,51,Engineering,Master,341
170886,2018,Chicago Institute of Technology,Chicago,Illinois,South Korea,Male,Asian,183,327,974,56,Computer Science/Information Technology,Certification,117
170886,2018,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,80,241,430,33,Business Administration,Certification,45
170886,2018,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,93,204,499,46,Economics,Associate,41
170886,2018,Chicago Institute of Technology,Chicago,Illinois,Canada,Male,Others,94,284,505,33,Economics,Bachelor,57
170886,2018,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,2586,6180,25003,42,Engineering,Certification,1805
170886,2018,Chicago Institute of Technology,Chicago,Illinois,Mexico,Female,Hispanic or Latino Americans,318,883,3084,36,Arts and Literature,Doctor,218
170886,2018,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,721,1755,6976,41,Business Administration,Certification,359
170886,2018,Chicago Institute of Technology,Chicago,Illinois,South Korea,Female,Asian,114,279,1110,41,Medical And Nursing,Master,60
170886,2018,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,52,150,508,35,Economics,Master,30
170886,2018,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,53,101,517,53,Computer Science/Information Technology,Doctor,27
170886,2018,Chicago Institute of Technology,Chicago,Illinois,Canada,Female,Others,40,69,389,58,Business Administration,Doctor,22
170886,2019,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,2232,7100,27284,31,Business Administration,Doctor,1151
170886,2019,Chicago Institute of Technology,Chicago,Illinois,Spain,Male,Hispanic or Latino Americans,242,456,2965,53,Education and Training,Certification,118
170886,2019,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,661,1775,8081,37,Business Administration,Master,411
170886,2019,Chicago Institute of Technology,Chicago,Illinois,China,Male,Asian,112,199,1371,56,Computer Science/Information Technology,Certification,62
170886,2019,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,60,190,739,32,Medical And Nursing,Certification,36
170886,2019,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,64,115,797,55,Business Administration,Associate,43
170886,2019,Chicago Institute of Technology,Chicago,Illinois,Australia,Male,Others,36,101,441,36,Engineering,Doctor,16
170886,2019,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,3057,10016,20491,31,Computer Science/Information Technology,Master,2264
170886,2019,Chicago Institute of Technology,Chicago,Illinois,Chile,Female,Hispanic or Latino Americans,409,904,2744,45,Medical And Nursing,Associate,311
170886,2019,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,750,1444,5027,52,Medical And Nursing,Associate,515
170886,2019,Chicago Institute of Technology,Chicago,Illinois,South Korea,Female,Asian,208,553,1396,38,Medical And Nursing,Certification,96
170886,2019,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,80,167,540,48,Arts and Literature,Bachelor,53
170886,2019,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,87,243,586,36,Business Administration,Master,59
170886,2019,Chicago Institute of Technology,Chicago,Illinois,UAE,Female,Others,74,127,500,58,Education and Training,Associate,50
170886,2020,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,3104,5376,28378,58,Computer Science/Information Technology,Associate,2238
170886,2020,Chicago Institute of Technology,Chicago,Illinois,Mexico,Male,Hispanic or Latino Americans,385,773,3529,50,Engineering,Certification,226
170886,2020,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,798,2065,7303,39,Engineering,Certification,554
170886,2020,Chicago Institute of Technology,Chicago,Illinois,South Korea,Male,Asian,180,477,1649,38,Medical And Nursing,Bachelor,77
170886,2020,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,76,182,697,42,Medical And Nursing,Master,45
170886,2020,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,55,129,504,43,Economics,Doctor,35
170886,2020,Chicago Institute of Technology,Chicago,Illinois,UAE,Male,Others,64,108,596,59,Computer Science/Information Technology,Associate,46
170886,2020,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,2952,5261,28032,56,Education and Training,Associate,1887
170886,2020,Chicago Institute of Technology,Chicago,Illinois,Spain,Female,Hispanic or Latino Americans,388,1053,3690,37,Engineering,Certification,209
170886,2020,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,970,2484,9220,39,Engineering,Bachelor,655
170886,2020,Chicago Institute of Technology,Chicago,Illinois,India,Female,Asian,173,416,1649,42,Computer Science/Information Technology,Associate,87
170886,2020,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,87,220,826,40,Medical And Nursing,Bachelor,44
170886,2020,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,99,167,942,59,Medical And Nursing,Associate,50
170886,2020,Chicago Institute of Technology,Chicago,Illinois,UAE,Female,Others,67,116,646,58,Medical And Nursing,Associate,47
170886,2021,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,1546,4764,13151,32,Engineering,Bachelor,844
170886,2021,Chicago Institute of Technology,Chicago,Illinois,Mexico,Male,Hispanic or Latino Americans,200,482,1705,41,Arts and Literature,Associate,95
170886,2021,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,484,981,4119,49,Arts and Literature,Doctor,320
170886,2021,Chicago Institute of Technology,Chicago,Illinois,India,Male,Asian,118,343,1008,34,Computer Science/Information Technology,Associate,59
170886,2021,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,35,81,303,43,Economics,Associate,18
170886,2021,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,55,115,473,48,Arts and Literature,Associate,24
170886,2021,Chicago Institute of Technology,Chicago,Illinois,UAE,Male,Others,40,118,346,34,Economics,Doctor,31
170886,2021,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,3157,10342,42935,31,Computer Science/Information Technology,Doctor,1426
170886,2021,Chicago Institute of Technology,Chicago,Illinois,Spain,Female,Hispanic or Latino Americans,535,1172,7278,46,Business Administration,Associate,420
170886,2021,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,931,2232,12668,42,Economics,Bachelor,520
170886,2021,Chicago Institute of Technology,Chicago,Illinois,Japan,Female,Asian,203,369,2771,55,Medical And Nursing,Doctor,116
170886,2021,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,82,183,1122,45,Medical And Nursing,Bachelor,52
170886,2021,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,105,307,1433,34,Computer Science/Information Technology,Certification,50
170886,2021,Chicago Institute of Technology,Chicago,Illinois,UAE,Female,Others,79,145,1079,55,Business Administration,Master,52
170886,2022,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,3622,11205,45917,32,Computer Science/Information Technology,Bachelor,2282
170886,2022,Chicago Institute of Technology,Chicago,Illinois,Mexico,Male,Hispanic or Latino Americans,523,1518,6639,34,Arts and Literature,Bachelor,396
170886,2022,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,1055,2678,13383,39,Education and Training,Bachelor,768
170886,2022,Chicago Institute of Technology,Chicago,Illinois,South Korea,Male,Asian,237,670,3018,35,Medical And Nursing,Bachelor,186
170886,2022,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,59,132,756,45,Arts and Literature,Certification,27
170886,2022,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,85,257,1081,33,Business Administration,Bachelor,41
170886,2022,Chicago Institute of Technology,Chicago,Illinois,UAE,Male,Others,81,204,1033,40,Economics,Master,63
170886,2022,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,1153,2985,31515,39,Business Administration,Associate,471
170886,2022,Chicago Institute of Technology,Chicago,Illinois,Spain,Female,Hispanic or Latino Americans,102,170,2797,60,Computer Science/Information Technology,Certification,72
170886,2022,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,354,993,9679,36,Medical And Nursing,Certification,207
170886,2022,Chicago Institute of Technology,Chicago,Illinois,South Korea,Female,Asian,77,150,2113,51,Computer Science/Information Technology,Master,36
170886,2022,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,29,52,802,56,Economics,Master,15
170886,2022,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,21,35,627,59,Medical And Nursing,Certification,13
170886,2022,Chicago Institute of Technology,Chicago,Illinois,UAE,Female,Others,28,50,773,56,Business Administration,Doctor,21
170886,2023,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,1426,3379,15071,42,Business Administration,Associate,699
170886,2023,Chicago Institute of Technology,Chicago,Illinois,Chile,Male,Hispanic or Latino Americans,135,271,1435,50,Education and Training,Associate,57
170886,2023,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,424,1113,4488,38,Economics,Master,263
170886,2023,Chicago Institute of Technology,Chicago,Illinois,Japan,Male,Asian,86,225,917,38,Medical And Nursing,Doctor,44
170886,2023,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,36,94,389,38,Education and Training,Certification,24
170886,2023,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,40,96,430,41,Business Administration,Master,21
170886,2023,Chicago Institute of Technology,Chicago,Illinois,Australia,Male,Others,47,82,505,57,Arts and Literature,Bachelor,33
170886,2023,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,2872,5980,35369,48,Medical And Nursing,Doctor,1971
170886,2023,Chicago Institute of Technology,Chicago,Illinois,Spain,Female,Hispanic or Latino Americans,396,1107,4884,36,Education and Training,Doctor,286
170886,2023,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,836,1453,10300,58,Computer Science/Information Technology,Master,548
170886,2023,Chicago Institute of Technology,Chicago,Illinois,South Korea,Female,Asian,134,350,1661,38,Computer Science/Information Technology,Doctor,82
170886,2023,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,48,150,602,32,Arts and Literature,Bachelor,31
170886,2023,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,73,126,903,58,Education and Training,Bachelor,40
170886,2023,Chicago Institute of Technology,Chicago,Illinois,Australia,Female,Others,63,111,785,57,Education and Training,Doctor,45
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,USA,Male,White Americans,978,2615,29855,37,Economics,Doctor,594
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,Colombia,Male,Hispanic or Latino Americans,132,297,4034,45,Engineering,Certification,104
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,USA,Male,African Americans,331,663,10125,50,Business Administration,Master,243
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,Japan,Male,Asian,67,170,2072,39,Computer Science/Information Technology,Certification,27
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,USA,Male,Native Americans and Alaska Natives,30,85,946,35,Medical And Nursing,Doctor,14
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,USA,Male,Native Hawaiians and Other Pacific Islanders,36,105,1112,34,Economics,Doctor,24
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,Canada,Male,Others,34,66,1061,52,Computer Science/Information Technology,Bachelor,26
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,USA,Female,White Americans,1230,2280,9987,54,Computer Science/Information Technology,Associate,899
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,Argentina,Female,Hispanic or Latino Americans,175,543,1422,32,Business Administration,Doctor,136
173607,2010,Institute of Economics at Los Angeles,Los Angeles,California,USA,Female,African Americans,368,955,2988,39,Economics,Doctor,188
